store,item,date,predicted_sales
1,1,2018-01-01,14.46
1,2,2018-01-01,37.08
1,3,2018-01-01,20.73
1,4,2018-01-01,13.18
1,5,2018-01-01,11.5
1,6,2018-01-01,34.5
1,7,2018-01-01,34.91
1,8,2018-01-01,45.62
1,9,2018-01-01,30.07
1,10,2018-01-01,45.07
1,11,2018-01-01,41.52
1,12,2018-01-01,41.22
1,13,2018-01-01,47.35
1,14,2018-01-01,35.7
1,15,2018-01-01,52.35
1,16,2018-01-01,17.28
1,17,2018-01-01,19.93
1,18,2018-01-01,51.33
1,19,2018-01-01,24.41
1,20,2018-01-01,29.07
1,21,2018-01-01,22.5
1,22,2018-01-01,48.1
1,23,2018-01-01,18.29
1,24,2018-01-01,35.43
1,25,2018-01-01,47.57
1,26,2018-01-01,31.57
1,27,2018-01-01,13.83
1,28,2018-01-01,49.95
1,29,2018-01-01,42.37
1,30,2018-01-01,24.0
1,31,2018-01-01,34.09
1,32,2018-01-01,24.64
1,33,2018-01-01,42.46
1,34,2018-01-01,15.75
1,35,2018-01-01,39.19
1,36,2018-01-01,46.13
1,37,2018-01-01,14.16
1,38,2018-01-01,47.71
1,39,2018-01-01,26.08
1,40,2018-01-01,18.05
1,41,2018-01-01,13.62
1,42,2018-01-01,18.0
1,43,2018-01-01,28.35
1,44,2018-01-01,18.02
1,45,2018-01-01,48.09
1,46,2018-01-01,34.0
1,47,2018-01-01,11.92
1,48,2018-01-01,31.86
1,49,2018-01-01,17.59
1,50,2018-01-01,36.93
2,1,2018-01-01,18.31
2,2,2018-01-01,49.29
2,3,2018-01-01,31.11
2,4,2018-01-01,19.42
2,5,2018-01-01,15.76
2,6,2018-01-01,46.27
2,7,2018-01-01,49.11
2,8,2018-01-01,63.73
2,9,2018-01-01,41.78
2,10,2018-01-01,56.96
2,11,2018-01-01,56.86
2,12,2018-01-01,57.07
2,13,2018-01-01,71.42
2,14,2018-01-01,49.46
2,15,2018-01-01,71.07
2,16,2018-01-01,19.0
2,17,2018-01-01,26.43
2,18,2018-01-01,67.46
2,19,2018-01-01,32.78
2,20,2018-01-01,39.67
2,21,2018-01-01,34.83
2,22,2018-01-01,64.68
2,23,2018-01-01,25.51
2,24,2018-01-01,50.88
2,25,2018-01-01,67.43
2,26,2018-01-01,41.7
2,27,2018-01-01,19.09
2,28,2018-01-01,73.65
2,29,2018-01-01,59.82
2,30,2018-01-01,35.29
2,31,2018-01-01,49.92
2,32,2018-01-01,40.9
2,33,2018-01-01,54.26
2,34,2018-01-01,21.8
2,35,2018-01-01,53.62
2,36,2018-01-01,64.91
2,37,2018-01-01,24.74
2,38,2018-01-01,66.12
2,39,2018-01-01,36.31
2,40,2018-01-01,26.47
2,41,2018-01-01,18.21
2,42,2018-01-01,34.05
2,43,2018-01-01,44.24
2,44,2018-01-01,23.7
2,45,2018-01-01,71.03
2,46,2018-01-01,48.58
2,47,2018-01-01,18.55
2,48,2018-01-01,39.36
2,49,2018-01-01,25.49
2,50,2018-01-01,52.33
3,1,2018-01-01,15.51
3,2,2018-01-01,44.8
3,3,2018-01-01,26.78
3,4,2018-01-01,16.17
3,5,2018-01-01,14.59
3,6,2018-01-01,41.17
3,7,2018-01-01,42.6
3,8,2018-01-01,54.49
3,9,2018-01-01,40.76
3,10,2018-01-01,49.38
3,11,2018-01-01,54.43
3,12,2018-01-01,53.2
3,13,2018-01-01,64.64
3,14,2018-01-01,43.59
3,15,2018-01-01,62.7
3,16,2018-01-01,20.45
3,17,2018-01-01,23.69
3,18,2018-01-01,60.18
3,19,2018-01-01,27.79
3,20,2018-01-01,36.81
3,21,2018-01-01,30.58
3,22,2018-01-01,60.02
3,23,2018-01-01,22.23
3,24,2018-01-01,56.36
3,25,2018-01-01,59.93
3,26,2018-01-01,33.93
3,27,2018-01-01,16.71
3,28,2018-01-01,59.2
3,29,2018-01-01,53.49
3,30,2018-01-01,31.35
3,31,2018-01-01,41.69
3,32,2018-01-01,36.14
3,33,2018-01-01,53.12
3,34,2018-01-01,18.85
3,35,2018-01-01,51.82
3,36,2018-01-01,59.42
3,37,2018-01-01,21.39
3,38,2018-01-01,58.64
3,39,2018-01-01,32.96
3,40,2018-01-01,24.28
3,41,2018-01-01,17.33
3,42,2018-01-01,27.46
3,43,2018-01-01,36.5
3,44,2018-01-01,21.7
3,45,2018-01-01,61.27
3,46,2018-01-01,45.95
3,47,2018-01-01,16.49
3,48,2018-01-01,39.27
3,49,2018-01-01,22.78
3,50,2018-01-01,50.2
4,1,2018-01-01,15.12
4,2,2018-01-01,40.33
4,3,2018-01-01,28.72
4,4,2018-01-01,17.11
4,5,2018-01-01,12.96
4,6,2018-01-01,39.17
4,7,2018-01-01,41.08
4,8,2018-01-01,51.12
4,9,2018-01-01,36.53
4,10,2018-01-01,50.46
4,11,2018-01-01,51.6
4,12,2018-01-01,50.52
4,13,2018-01-01,61.92
4,14,2018-01-01,41.93
4,15,2018-01-01,59.38
4,16,2018-01-01,15.76
4,17,2018-01-01,20.28
4,18,2018-01-01,59.23
4,19,2018-01-01,30.25
4,20,2018-01-01,32.26
4,21,2018-01-01,28.61
4,22,2018-01-01,56.7
4,23,2018-01-01,19.28
4,24,2018-01-01,44.55
4,25,2018-01-01,57.7
4,26,2018-01-01,31.43
4,27,2018-01-01,15.46
4,28,2018-01-01,57.1
4,29,2018-01-01,48.02
4,30,2018-01-01,27.29
4,31,2018-01-01,43.19
4,32,2018-01-01,31.18
4,33,2018-01-01,47.21
4,34,2018-01-01,18.19
4,35,2018-01-01,43.53
4,36,2018-01-01,56.39
4,37,2018-01-01,17.46
4,38,2018-01-01,55.9
4,39,2018-01-01,30.48
4,40,2018-01-01,19.06
4,41,2018-01-01,15.37
4,42,2018-01-01,24.81
4,43,2018-01-01,35.38
4,44,2018-01-01,19.19
4,45,2018-01-01,54.63
4,46,2018-01-01,41.65
4,47,2018-01-01,16.63
4,48,2018-01-01,37.09
4,49,2018-01-01,18.61
4,50,2018-01-01,44.25
5,1,2018-01-01,12.12
5,2,2018-01-01,28.33
5,3,2018-01-01,19.63
5,4,2018-01-01,9.27
5,5,2018-01-01,9.57
5,6,2018-01-01,28.02
5,7,2018-01-01,28.38
5,8,2018-01-01,37.7
5,9,2018-01-01,25.03
5,10,2018-01-01,38.13
5,11,2018-01-01,36.25
5,12,2018-01-01,34.07
5,13,2018-01-01,40.95
5,14,2018-01-01,33.38
5,15,2018-01-01,45.38
5,16,2018-01-01,11.73
5,17,2018-01-01,17.89
5,18,2018-01-01,43.49
5,19,2018-01-01,18.33
5,20,2018-01-01,24.57
5,21,2018-01-01,20.47
5,22,2018-01-01,42.4
5,23,2018-01-01,15.16
