store,item,current_stock,avg_daily_predicted_demand,days_of_stock_left,stockout_risk,reorder_qty,overstock_flag
5,39,141,27.7,5.1,True,139,False
9,23,132,25.9,5.1,True,127,False
5,27,75,14.0,5.4,True,66,False
3,36,393,72.6,5.4,True,340,False
6,20,169,31.2,5.4,True,145,False
2,2,325,59.8,5.4,True,275,False
6,9,205,37.0,5.5,True,166,False
8,45,423,75.8,5.6,True,342,False
9,35,333,59.7,5.6,True,269,False
6,21,147,26.1,5.6,True,116,False
5,5,65,11.5,5.6,True,51,False
2,35,375,66.3,5.7,True,291,False
3,50,340,59.8,5.7,True,266,False
9,22,392,68.7,5.7,True,305,False
4,14,291,50.7,5.7,True,219,False
9,24,337,58.3,5.8,True,251,False
2,19,239,41.2,5.8,True,174,False
10,1,112,19.1,5.9,True,82,False
9,49,148,25.1,5.9,True,103,False
9,15,426,72.2,5.9,True,297,False
4,26,239,40.2,5.9,True,163,False
3,40,175,28.9,6.0,True,115,False
10,35,351,58.0,6.1,True,231,False
6,42,135,22.2,6.1,True,89,False
6,31,206,33.8,6.1,True,132,False
9,29,383,62.8,6.1,True,249,False
1,28,381,62.3,6.1,True,251,False
1,5,88,14.3,6.2,True,57,False
1,18,389,62.6,6.2,True,248,False
6,23,114,18.3,6.2,True,71,False
3,25,450,72.1,6.2,True,274,False
2,25,519,82.1,6.3,True,315,False
7,50,239,37.7,6.3,True,140,False
3,23,181,28.5,6.3,True,106,False
5,30,169,26.2,6.4,True,97,False
6,40,126,19.4,6.5,True,70,False
6,37,116,17.8,6.5,True,61,False
6,44,121,18.3,6.6,True,63,False
10,23,196,29.6,6.6,True,102,False
4,5,109,16.4,6.6,True,56,False
7,39,156,23.5,6.6,True,79,False
10,5,115,17.3,6.7,True,58,False
9,9,303,45.4,6.7,True,155,False
5,9,222,33.3,6.7,True,112,False
5,40,115,17.2,6.7,True,58,False
2,49,213,31.7,6.7,True,107,False
7,37,109,16.2,6.7,True,52,False
3,9,328,48.5,6.8,True,161,False
8,14,394,58.1,6.8,True,189,False
6,8,330,48.6,6.8,True,162,False
3,29,448,65.8,6.8,True,216,False
4,3,238,34.9,6.8,True,113,False
1,9,261,38.1,6.8,True,120,False
2,36,535,78.1,6.9,True,258,False
2,48,354,51.6,6.9,True,163,False
4,38,464,67.6,6.9,True,222,False
9,13,484,70.5,6.9,True,224,False
7,41,85,12.3,6.9,True,39,False
9,37,185,26.7,6.9,True,86,False
4,11,441,63.3,7.0,True,202,False
8,39,321,46.0,7.0,True,144,False
8,42,259,37.0,7.0,False,113,False
7,10,295,42.0,7.0,False,128,False
6,16,119,16.8,7.1,False,50,False
2,9,383,53.9,7.1,False,158,False
8,12,483,67.7,7.1,False,200,False
10,24,443,61.8,7.2,False,184,False
5,7,259,36.1,7.2,False,105,False
4,43,318,44.1,7.2,False,130,False
5,18,392,54.1,7.2,False,154,False
5,31,269,36.8,7.3,False,101,False
7,35,281,38.4,7.3,False,105,False
9,17,207,28.1,7.4,False,78,False
9,4,134,18.1,7.4,False,50,False
2,10,543,73.4,7.4,False,191,False
2,41,168,22.7,7.4,False,60,False
1,50,358,48.3,7.4,False,129,False
6,19,182,24.6,7.4,False,64,False
9,42,230,31.0,7.4,False,80,False
6,11,322,43.4,7.4,False,111,False
10,12,484,65.1,7.4,False,174,False
1,26,293,39.3,7.5,False,106,False
4,25,531,71.1,7.5,False,188,False
10,19,268,35.9,7.5,False,90,False
8,13,592,79.1,7.5,False,203,False
2,39,339,45.1,7.5,False,114,False
5,17,147,19.5,7.5,False,52,False
6,32,212,28.0,7.6,False,70,False
1,29,398,52.5,7.6,False,130,False
6,14,272,35.8,7.6,False,87,False
8,2,473,62.2,7.6,False,163,False
7,2,240,31.5,7.6,False,76,False
3,28,583,76.4,7.6,False,187,False
6,18,399,52.1,7.7,False,123,False
8,25,606,78.5,7.7,False,188,False
4,45,515,66.6,7.7,False,154,False
9,19,297,37.8,7.8,False,85,False
6,22,380,48.4,7.9,False,106,False
10,4,158,20.1,7.9,False,46,False
8,26,369,46.8,7.9,False,99,False
3,31,423,53.5,7.9,False,116,False
1,16,167,20.9,8.0,False,46,False
1,37,152,18.9,8.1,False,35,False
2,1,179,22.1,8.1,False,44,False
1,36,469,57.8,8.1,False,114,False
7,32,210,25.9,8.1,False,53,False
4,46,415,50.8,8.2,False,101,False
9,36,546,66.4,8.2,False,124,False
5,4,104,12.6,8.2,False,25,False
3,15,646,78.3,8.2,False,144,False
4,49,203,24.5,8.3,False,44,False
3,12,544,64.8,8.4,False,113,False
5,13,424,50.4,8.4,False,81,False
2,34,221,26.2,8.4,False,42,False
9,44,205,24.3,8.5,False,39,False
1,39,280,32.8,8.5,False,47,False
4,42,271,31.6,8.6,False,46,False
6,34,142,16.4,8.7,False,23,False
10,6,457,52.3,8.7,False,70,False
10,32,334,38.2,8.8,False,49,False
9,27,171,19.5,8.8,False,26,False
5,6,307,35.0,8.8,False,43,False
4,13,647,73.6,8.8,False,102,False
6,33,390,44.2,8.8,False,56,False
4,21,326,36.8,8.9,False,40,False
7,48,267,30.1,8.9,False,35,False
2,21,371,41.1,9.0,False,42,False
7,30,213,23.6,9.0,False,25,False
7,13,439,47.8,9.2,False,40,False
5,43,286,31.1,9.2,False,27,False
2,26,487,52.9,9.2,False,46,False
10,38,667,71.7,9.3,False,63,False
7,9,260,27.9,9.3,False,18,False
2,27,227,24.3,9.4,False,17,False
9,16,202,21.6,9.4,False,17,False
10,49,268,28.6,9.4,False,22,False
9,7,495,52.8,9.4,False,41,False
5,25,471,50.2,9.4,False,32,False
8,48,500,53.0,9.4,False,37,False
1,48,371,39.1,9.5,False,24,False
10,25,688,72.1,9.5,False,38,False
10,26,411,43.1,9.5,False,22,False
3,27,211,22.1,9.6,False,11,False
2,24,624,65.1,9.6,False,33,False
4,7,485,50.5,9.6,False,27,False
9,45,654,67.9,9.6,False,34,False
6,13,518,53.8,9.6,False,25,False
4,19,358,37.1,9.6,False,16,False
9,1,180,18.6,9.7,False,7,False
3,46,535,55.3,9.7,False,24,False
4,50,540,55.8,9.7,False,23,False
10,44,264,27.2,9.7,False,10,False
4,23,230,23.6,9.7,False,4,False
3,8,667,68.2,9.8,False,23,False
7,19,222,22.6,9.8,False,5,False
6,27,137,14.0,9.8,False,3,False
3,34,249,25.2,9.9,False,3,False
6,5,106,10.7,9.9,False,2,False
8,19,421,42.4,9.9,False,7,False
10,34,226,22.7,9.9,False,2,False
8,24,674,67.7,10.0,False,11,False
1,44,227,22.8,10.0,False,3,False
4,34,233,23.3,10.0,False,0,False
6,17,208,20.8,10.0,False,2,False
4,40,245,24.4,10.0,False,0,False
8,22,761,75.7,10.1,False,0,False
5,21,240,23.6,10.2,False,0,False
7,7,379,37.1,10.2,False,0,False
3,3,332,32.3,10.3,False,0,False
1,34,218,21.2,10.3,False,0,False
3,13,800,77.2,10.4,False,0,False
7,16,150,14.5,10.4,False,0,False
6,38,527,50.6,10.4,False,0,False
1,33,546,51.8,10.5,False,0,False
10,14,547,51.7,10.6,False,0,False
2,45,879,83.0,10.6,False,0,False
8,23,332,31.4,10.6,False,0,False
1,22,625,58.9,10.6,False,0,False
3,24,741,69.7,10.6,False,0,False
6,4,125,11.7,10.6,False,0,False
3,47,218,20.5,10.6,False,0,False
